sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,product_img
#05463253,,,,,,"Women's Daily Club Above Knee Skirts, Casual Street chic Bodycon Polyester Solid Spring Fall  ","Style:, Street chic,Occasion:, Club,Design:, Criss-Cross,Pants Type:, Bodycon",,,,,"
				Rs1,070
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03991256,,,,,,Women's Sexy Bodycon Beach Casual Party Sleeveless Print Maxi Dress  ,"Occasion:, Beach,Dresses Type:, Bodycon, - ,Fabric:, Linen,Design:, Flower,Dress Length:, Maxi,Pattern:, Color Block",,,,,"
				Rs957
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04857569,,,,,,"Women's Work Casual Spring Shirt,Solid Shirt Collar Long Sleeves Bamboo Fiber Acrylic Polyester Thin  ","Occasion:, Work,Tops Type:, Shirt,Fabric:, Bamboo Fiber,Design:, Bow",,,,,"
				Rs450
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05654110,,,,,,"Women's Daily Holiday Sexy Street chic Summer Fall T-shirt,Striped One Shoulder Short Sleeves Polyester Medium  ","Style:, Street chic, Sexy,Occasion:, Holiday,Tops Type:, T-shirt,Neckline:, One Shoulder,Design:, Ruffle, Layered,Pattern:, Striped",,,,,"
				Rs675
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05491986,,,,,,Women's Floral Print One-piece Swimwear Black  ,"Style:, Floral,Swimwear Category:, One-piece",,,,,"
				Rs732
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05545607,,,,,,"Women's Holiday Plus Size Casual Loose Dress,Solid Round Neck Above Knee Long Sleeves Cotton Summer Mid Rise Inelastic Medium  ","Occasion:, Holiday,Fabric:, Cotton",,,,,"
				Rs450
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04976389,,,,,,Women's Daily Vintage A Line Skater Dress  ,"Dresses Type:, A Line,Pattern:, Polka Dot",,,,,"
				Rs788
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04894742,,,,,,"Women's Work Sexy Punk & Gothic All Seasons Shirt,Solid Stand Long Sleeves Rayon Polyester Thin  ","Occasion:, Work,Tops Type:, Shirt,Design:, Ruffle",,,,,"
				Rs636
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05099834,,,,,,Running Outdoor sport Running Shoes Women's Anti-Slip / Damping / Breathable Coconut Shoes/ Leisure  ,"Activity:, Running Shoes, - ",,,,,"
				Rs655
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li6.rightinthebox.com/images/384x384/201607/wcdzag1468892006057.jpg
#05581287,,,,,,"Women's Ruffle Bandeau Bikini,High Rise Ruffle Solid Polyester White Pink Blue Brown Black  ","Style:, Ruffle, High Rise,Neckline:, Bandeau,Swimwear Category:, Bikini",,,,,"
				Rs649
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
